Site,Type,Number,HostOctet,OS,ConnectionType,Managed,Notes,SubnetSite,Legacy,Migrating,Planned
FAL,CAM,3,72,Axis P3245-LVE,http,,Camera car park,,yes,yes,
FAL,CAM,4,73,Axis P3245-LVE,http,,Camera rear loading bay,,yes,yes,
FAL,CLK,1,80,,http,,Embedded NTP clock,,yes,yes,
FAL,PAY,1,95,,none,,GPO Kiosk No.6 payphone,,yes,yes,
FAL,WKS,1,100,Windows 11 Pro 23H2,winrm,,Workstation Analog Mixing Desk v1,,yes,yes,
FAL,WKS,3,102,Windows 11 Pro 23H2,winrm,,Workstation shared editing,,yes,yes,
FAL,LAP,1,103,Windows 11 Pro 23H2,winrm,,Production laptop,,yes,yes,
FAL,SUR,1,104,Windows 11 23H2,winrm,,Microsoft Surface,,yes,yes,
FAL,SWI,1,250,Cisco Catalyst 9300,snmp,,Core switch 1,,yes,yes,
FAL,SWI,2,251,Cisco Catalyst 9300,snmp,,Core switch 2,,yes,yes,
FAL,RTR,2,1,FortiGate,telnet,,WAN edge router,,no,,
FAL,PHN,1,,Yealink T58A,http,,Phone 1,,yes,yes,
FAL,PHN,2,,Yealink T58A,http,,Phone 2,,yes,yes,
FAL,PHN,3,,Yealink T58A,http,,Phone 3,,yes,yes,
FAL,PHN,6,,Yealink T58A,http,,Phone 6,,yes,yes,
FAL,PHN,7,,Yealink T58A,http,,Phone 7,,yes,yes,
FAL,TAB,1,,,winrm,,Tablet,,yes,yes,
FAL,TTY,1,,,none,,VT320 serial terminal,,yes,yes,
FAL,BUS,1,,,none,,Tour bus 1,,review,,
FAL,BUS,2,,,none,,Tour bus 2,,review,,
FAL,BUS,3,,,none,,Tour bus 3,,review,,
FAL,CAR,1,,,none,,Car 1,,review,,
FAL,CAR,2,,,none,,Car 2,,review,,
FAL,CAR,3,,,none,,Car 3,,review,,
FAL,CAR,4,,,none,,Car 4,,review,,
FAL,CAR,5,,,none,,Car 5,,review,,
FAL,TRK,1,,,none,,Truck 1,,review,,
FAL,TRK,2,,,none,,Truck 2,,review,,
FAL,TRK,3,,,none,,Truck 3,,review,,
FAL,TRK,4,,,none,,Truck 4,,review,,
FAL,TRK,5,,,none,,Truck 5,,review,,
FAL,JET,1,,,none,,Jet 1,,review,,
FAL,JET,2,,,none,,Jet 2,,review,,
FAL,JET,3,,,none,,Jet 3,,review,,
FAL,JET,4,,,none,,Jet 4,,review,,
FAL,JET,5,,,none,,Jet 5,,review,,
FAL,NAS,1,19,TrueNAS SCALE,ssh,yes,"Site NAS/SAN — EXANASFAL001 (.19 standard slot) — installed 2026-07-26, bare metal — replaces the retired legacy FreeNAS box (was .32)",,,,
EDI,DCR,2,12,Windows Server 2022,ssh,,DC secondary needs rebuild corrected to .12,,yes,no,
EDI,DCR,3,13,Windows Server 2022,ssh,,DECOMMISSION PENDING corrected to .13,,yes,no,
EDI,WKS,1,150,Windows 10 Pro 22H2,winrm,,Shared desktop,,yes,yes,
EDI,LAP,98,108,Windows 11 Pro 24H2,winrm,,Pool laptop,,yes,yes,
EDI,SWI,1,250,Cisco Catalyst 2960X,snmp,,Floor switch,,yes,yes,
EDI,SWI,2,251,Cisco Catalyst 2960X,snmp,,48-port switch,,yes,yes,
EDI,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes,yes,
EDI,TEA,1,60,Siemens EQ700,http,,Coffee machine,,yes,yes,
GLA,PRN,1,16,HP LaserJet Pro,snmp,,Main floor printer,,yes,yes,
GLA,WKS,1,150,Windows 11 Pro,winrm,,Hot desk workstation,,yes,yes,
GLA,WKS,2,151,Windows 11 Pro,winrm,,Hot desk workstation,,yes,yes,
GLA,LAP,1,152,Windows 11 Pro,winrm,,Pool laptop,,yes,yes,
CLY,FWL,1,254,FortiOS 7.6.5,ssh,,VPN gateway,,yes,yes,
CLY,SRV,1,20,Rocky Linux,ssh,,Oracle DB server,,yes,yes,
CLY,SWI,1,250,Cisco Catalyst 9300,snmp,,Core switch,,yes,yes,
CLY,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes,yes,
CLY,SUR,1,,Windows 11,winrm,,Surface,,yes,yes,
CLY,PHN,1,,iOS,http,,Phone,,yes,yes,
CLY,TAB,1,,Android,winrm,,"Android tablet -- renamed from EXASURCLY002 to EXATABCLY001: real AD record's own Name field was stale (still said EXASURGLA001), but SamAccountName/DNSHostName/Site already correctly said EXATABCLY001/CLY -- per Robert, real-world fix is demote+rejoin to AD; this row now reflects the correct post-fix identity",,yes,yes,
DUN,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes,yes,
DUN,SUR,1,,Windows 11,winrm,,Surface,,yes,yes,
DUN,SUR,2,,Windows 11,winrm,,Surface,,yes,yes,
DUN,PHN,1,,iOS,http,,Phone,,yes,yes,
DUN,PHN,2,,iOS,http,,Phone,,yes,yes,
PER,NIX,1,40,Solaris 11.5,ssh,,MIDI archive,,yes,yes,
PER,MBP,1,,macOS,ssh,,MacBook,,yes,yes,
PER,SUR,1,,Windows,winrm,,Surface,,yes,yes,
PER,PHN,1,,Yealink T46G,http,,Phone 1,,yes,yes,
PER,PHN,2,,Yealink T46G,http,,Phone 2,,yes,yes,
PER,PHN,3,,Yealink T46G,http,,Phone 3,,yes,yes,
PER,PHN,4,,Yealink T46G,http,,Phone 4,,yes,yes,
PER,PRN,1,,HP MFP,snmp,,Printer,,yes,yes,
PER,VND,1,,Embedded SP100,none,,"Vending machine -- NOT the same device as AD Name=EXACVNDER001 (a different, real Scone Palace donut vending device whose DNSHostName coincidentally matches this hostname) -- confirmed by Robert 2026-07-14, genuinely new/current, not legacy",,no,,
ABD,FWL,1,254,Cisco ASA 5506-X,ssh,,Edge firewall,,yes,yes,
ABD,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes,yes,
ABD,MBP,1,,macOS,ssh,,MacBook,,yes,yes,
ABD,MBP,2,,macOS,ssh,,MacBook,,yes,yes,
ABD,PHN,1,,iOS,http,,iPhone,,yes,yes,
ABD,PHN,2,,iOS,http,,iPhone,,yes,yes,
LND,FWL,1,254,Cisco ASA 5516-X,ssh,,Perimeter firewall,,yes,yes,
LND,RAD,1,80,,none,,BBC Office Radio Mk II,,yes,yes,
LND,MIC,1,81,,none,,Shure SM7 via Dante audio,,yes,yes,
LND,SWI,1,250,Cisco Catalyst 9300,snmp,,Core switch,,yes,yes,
LND,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes,yes,
LND,WKS,1,150,Windows 11,winrm,,Workstation,,yes,yes,
LND,PRN,1,,Xerox WorkCentre,snmp,,Printer,,yes,yes,
LND,PRN,2,,,snmp,,Steno writer no IP,,yes,yes,
BIR,FWL,1,254,Palo Alto PAN-OS,ssh,,VPN gateway,,yes,yes,
BIR,SRV,1,20,Rocky Linux,ssh,,Oracle DB,,yes,yes,
BIR,MOO,1,70,,none,,Moog synth,,yes,yes,
BIR,LIN,1,71,,none,,Drum machine,,yes,yes,
BIR,FCL,1,72,QDOS 2.x,none,,Fairlight CMI,,yes,yes,
BIR,AST,1,73,TOS 1.04,none,,Atari ST,,yes,yes,
BIR,PAY,1,74,,none,,Payphone,,yes,yes,
BIR,LCD,1,75,NEC PlasmaSync,http,,NOC display,,yes,yes,
BIR,SWI,1,250,Cisco Catalyst 9300,snmp,,Core switch,,yes,yes,
BIR,SWI,2,251,Cisco Catalyst 48-port,snmp,,Access switch,,yes,yes,
BIR,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes,yes,
BIR,MBP,1,,macOS,ssh,,MacBook,,yes,yes,
BIR,TAB,1,,Android,winrm,,Galaxy Tab,,yes,yes,
BIR,PHN,1,,Android,http,,Samsung S25,,yes,yes,
MCR,SWI,1,250,Cisco Catalyst 9300,snmp,,Distribution switch,,yes,yes,
MCR,LAP,1,,Windows 11,winrm,,Laptop,,yes,yes,
MCR,LAP,2,,Windows 11,winrm,,Laptop,,yes,yes,
MCR,WKS,1,,Windows 10,winrm,,Desktop,,yes,yes,
MCR,WKS,2,,Windows 10,winrm,,Desktop,,yes,yes,
MCR,PRN,1,,,snmp,,Printer,,yes,yes,
LIV,SWI,1,250,Cisco Catalyst 9200,snmp,,Core switch,,yes,yes,
LIV,SVR,1,,Windows Server 2022,ssh,,File server,,yes,yes,
LIV,MBP,1,,macOS Tahoe,ssh,,MacBook Pro,,no,,
LIV,MAC,1,,macOS,ssh,,iMac DISABLED,,no,,
LIV,RDR,2,21,,ssh,,HID Signo badge reader,,yes,yes,
LIV,BPS,1,,,http,,Badge programming workstation,,yes,yes,
NEW,SWI,1,250,TP-Link JetStream,snmp,,Access switch,,yes,yes,
NEW,SRV,1,,Windows Server 2022,ssh,,File/print server,,yes,yes,
NEW,WKS,99,,Windows 11,winrm,,LAPS password expired,,yes,yes,
COV,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge no server infra,,yes,yes,
CPH,CLK,1,18,Meinberg LANTIME M300,http,,NTP clock,,yes,yes,
CPH,TVS,1,17,Bella Kronik 42X,http,,Display,,yes,yes,
CPH,SWI,1,250,TP-Link JetStream,snmp,,Office switch,,yes,yes,
CPH,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes,yes,
ODE,FWL,1,254,Cisco ASA 5506-X,ssh,,Edge firewall,,yes,yes,
ODE,MUS,1,60,,none,,Jukebox,,yes,yes,
ODE,MAC,1,,macOS Tahoe,ssh,,iMac,,yes,yes,
ODE,MBP,2,,macOS,ssh,,MacBook Pro,,yes,yes,
KGE,PRN,1,,HP LaserJet MFP M528,snmp,,Printer,,yes,yes,
FAX,FWL,1,254,Cisco ISR 4331,ssh,,"WAN edge -- vRACK WAN IP at 192.168.139.246 per standard convention, confirmed",,no,,
BON,SWI,1,250,Cisco Catalyst 2960X,snmp,,Office switch,,yes,yes,
BON,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes,yes,
BON,LAP,1,,Windows 11,winrm,,ThinkPad DISABLED,,no,,
BON,WKS,1,,Windows 11,winrm,,Finance workstation,,yes,yes,
BON,LAP,2,,Windows 11,winrm,,Finance laptop,,yes,yes,
BON,VCU,1,,Poly Studio X70,http,,Boardroom video conferencing,,yes,yes,
BON,CAM,1,17,Axis P3245-LVE,http,,CCTV camera,,no,,
BON,TVS,1,,Samsung 65in,http,,Display,,yes,yes,
BRD,RTR,1,1,Cisco ISR 4331,telnet,,"WAN edge -- BRD site being consolidated into BER; relocating there, possible decommission after the move (Robert, 2026-07-31)",,yes,yes,
BRD,SRV,1,,Windows Server 2019,ssh,,"Legacy application server -- BRD site being consolidated into BER; relocating there, possible decommission after the move (Robert, 2026-07-31)",,yes,yes,
BRD,NIX,1,,Debian 12,ssh,,"Debian server -- BRD site being consolidated into BER; relocating there, possible decommission after the move (Robert, 2026-07-31)",,no,,
MUN,SWI,1,250,Cisco Catalyst 9200,snmp,,Access switch,,yes,yes,
MUN,WKS,1,,Windows 11,winrm,,Hot desk workstation,,yes,yes,
MUN,LAP,1,,Windows 11,winrm,,Pool laptop,,yes,yes,
MUN,LAP,2,,Windows 11,winrm,,LAPS expired,,yes,yes,
BRK,DON,1,60,VxWorks,http,,Donut vending,,yes,yes,
BRK,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes,yes,
BRK,LAP,1,,Windows 11,winrm,,Tour laptop,,yes,yes,
BRK,VND,1,,XPe,none,,Vending machine,,no,,
LAX,FWL,1,254,Palo Alto PAN-OS 10.x,ssh,,VPN gateway,,yes,yes,
LAX,SRV,1,20,Rocky Linux 9.x,ssh,,Local services DB,,yes,yes,
LAX,MUS,1,70,,none,,Synth,,yes,yes,
LAX,MUS,2,71,,none,,Drum machine,,yes,yes,
LAX,MUS,3,72,,none,,Fairlight CMI,,yes,yes,
LAX,AST,1,73,TOS 1.04,none,,Atari ST,,no,,
LAX,PAY,1,74,,none,,Payphone,,yes,yes,
LAX,LCD,1,75,NEC PlasmaSync,http,,Status wallboard,,yes,yes,
LAX,SWI,1,250,Cisco Catalyst 9300,snmp,,Core switch,,yes,yes,
LAX,SWI,2,251,Cisco Catalyst 2960,snmp,,Access switch,,yes,yes,
LAX,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes,yes,
LAX,MBP,1,,macOS,ssh,,MacBook Pro,,yes,yes,
LAX,TAB,1,,iPadOS,winrm,,iPad,,yes,yes,
LAX,PHN,1,,Android,http,,Phone,,yes,yes,
MIA,COF,1,60,VxWorks,http,,Coffee machine,,yes,yes,
MIA,LAP,1,,macOS Sonoma,winrm,,MacBook,,yes,yes,
SYD,FWL,1,254,FortiGate 7.x,ssh,,Site firewall,,yes,yes,
SYD,SRV,1,20,Windows Server 2022,ssh,,Local infra server,,yes,yes,
SYD,SWI,1,250,Cisco Catalyst 9300,snmp,,Core switch,,yes,yes,
SYD,SWI,2,251,Cisco Catalyst 2960,snmp,,Access switch,,yes,yes,
SYD,MBP,1,,macOS,ssh,,MacBook Pro,,yes,yes,
SYD,WKS,1,,Windows 11,winrm,,Workstation,,yes,yes,
SYD,PHN,1,,Android,http,,Phone,,yes,yes,
SYD,TAB,1,,iPadOS,winrm,,iPad,,yes,yes,
SYD,LCD,1,,,http,,LG Signage wallboard,,yes,yes,
SYD,PRN,1,,Brother,snmp,,Laser printer,,yes,yes,
SYD,CAM,1,82,Hikvision,http,,Camera,,yes,yes,
SYD,CAM,2,85,Hikvision,http,,Camera reception,,no,,
SYD,COF,1,,,http,,Coffee machine,,yes,yes,
MEL,FWL,1,254,FortiGate 7.x,ssh,,Site firewall,,yes,yes,
MEL,SRV,1,20,Windows Server 2022,ssh,,Local file and print server,,yes,yes,
MEL,SWI,1,250,Cisco Catalyst 9300,snmp,,Core switch,,yes,yes,
MEL,SWI,2,251,Cisco Catalyst 2960,snmp,,Access switch,,yes,yes,
MEL,MBP,1,,macOS,ssh,,MacBook Pro,,yes,yes,
MEL,WKS,1,,Windows 11,winrm,,Workstation,,yes,yes,
MEL,PHN,1,,iOS,http,,Phone,,yes,yes,
MEL,TAB,1,,iPadOS,winrm,,iPad,,yes,yes,
MEL,LCD,1,,Samsung,http,,Signage display,,yes,yes,
MEL,PRN,1,,HP,snmp,,LaserJet printer,,yes,yes,
AKL,FWL,1,254,FortiGate 7.x,ssh,,Site firewall,,yes,yes,
AKL,SRV,1,20,Windows Server 2022,ssh,,Local server,,yes,yes,
AKL,SWI,1,250,Cisco Catalyst 9300,snmp,,Core switch,,yes,yes,
AKL,SWI,2,251,Cisco Catalyst 2960,snmp,,Access switch,,yes,yes,
AKL,RTR,1,1,Cisco ISR 4331,telnet,,WAN edge,,yes,yes,
AKL,WKS,1,,Windows 11,winrm,,Workstation,,yes,yes,
AKL,MBP,1,,macOS,ssh,,MacBook Pro,,yes,yes,
AKL,PHN,1,,Android,http,,Phone,,yes,yes,
AKL,TAB,1,,iPadOS,winrm,,iPad,,yes,yes,
AKL,LCD,1,,Samsung,http,,Signage display,,yes,yes,
AKL,PRN,1,,HP,snmp,,LaserJet printer,,yes,yes,
AKL,CAM,1,82,Axis,http,,Camera,,yes,yes,
AKL,COF,1,,,http,,Coffee machine,,yes,yes,
CLD,UFC,1,82,Debian trixie,snmp,,UniFi Network Controller -- manages WAPs across the estate; no physical WiFi at CLD itself (hub-based management pattern),,no,,
TOR,DCR,28,,Windows Server 2003,,no,"Undocumented legacy AD install found on site, no-one on record knew it existed -- running on a Dell PowerEdge 1950, no iDRAC/out-of-band card at all (real problem 3,000 miles from Falkirk). Not in benarbejde/ad_computers.json (the TDF-era AD export) -- confirmed real by Robert directly, not from that export. Slated for full replacement, not just decommission. HostOctet/ConnectionType genuinely unknown -- needs on-site discovery before this can be more than a placeholder row.",,yes,no,
CLD,BMC,2,3,,none,,"Not yet built -- planned expansion slot (2026-07-30, Robert)",,no,,yes
CLD,PVE,2,6,,none,,"Not yet built -- planned expansion slot (2026-07-30, Robert)",,no,,yes
ODE,FWL,2,254,,none,,"Not yet built -- planned second firewall (2026-07-30, Robert)",,no,,yes
FRD,FWL,1,253,,none,,"Not yet built -- planned first firewall for this fallback vRACK site (2026-07-30, Robert)",,no,,yes
FRD,PVE,1,5,,ssh,,"Small Intel NUC running Proxmox VE -- part of the site kit alongside the 48-port switch, despite FRD being otherwise a legal-fiction single-MacBook provisioning network (2026-07-30, Robert). Vendor/model TBD.",,no,,
FRD,SWI,1,250,,snmp,,"48-port switch -- part of the site kit alongside the NUC (2026-07-30, Robert). Vendor/model TBD.",,no,,
ODE,SWI,2,251,,snmp,,"Second switch -- confirmed real (2026-07-30, Robert). Vendor/model TBD.",,no,,
BRK,SWI,2,251,,snmp,,"Second switch -- confirmed real (2026-07-30, Robert). Vendor/model TBD.",,no,,
ABD,WAP,2,83,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
AKL,WAP,1,84,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
AKL,WAP,2,85,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
AKL,WAP,3,86,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
BIR,WAP,2,83,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
BON,WAP,2,83,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
BRD,WAP,2,83,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
CLY,WAP,2,83,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
COV,WAP,2,83,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
CPH,WAP,2,83,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
CPH,WAP,3,84,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
DUN,WAP,2,83,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
EDI,WAP,2,83,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
FAL,WAP,2,83,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,yes,yes,
FAL,WAP,3,84,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,yes,yes,
FAL,WAP,4,85,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,yes,yes,
FAL,WAP,5,86,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,yes,yes,
FAL,WAP,6,87,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,yes,yes,
FAX,WAP,2,83,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
LAX,WAP,2,83,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
LAX,WAP,3,84,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
ODE,WAP,2,83,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
SYD,WAP,1,84,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,no,,
VRK,PVE,1,5,,ssh,,"Quanta S210-X22RQ -- Proxmox VE node on the vRACK provisioning network (2026-08-01, Robert).",,no,,
VRK,BMC,1,215,,ssh,,"SuperMicro BMC for EXAPVEVRK001 (Quanta S210-X22RQ chassis, BMC itself is SuperMicro, not Quanta) (2026-08-01, Robert).",,no,,
FAL,WAP,1,82,Ubiquiti UniFi U6-Pro,http,,Wireless access point,,yes,yes,
